GNIS_NAME,RepeatID,pNat,pComm,nClnzSp,rGlac,Turnovr,huc6
Mizpah Creek,436,0.181818182,0.230769231,2,0.333333333,0.8,100902
Yellowstone River,34,0.5,0.545454545,2,0.001,0.538461538,101000
Yellowstone River,35,0.001,0.001,4,0.001,0.999,101000
Yellowstone River,31,0.666666667,0.6875,3,0.5,0.421052632,101000
East Fork Armells Creek,358,0,0.001,0,0,0.999,101000
Sarpy Creek,433,0.5,0.333333333,3,0.5,0.833333333,101000
Yellowstone River,29,0.001,0.001,3,0.001,0.999,101000
Yellowstone River,33,0.666666667,0.636363636,9,0.333333333,0.65,101000
Yellowstone River,36,0.001,0.001,3,0.001,0.999,101000
Yellowstone River,37,0.001,0.066666667,4,0.001,0.947368421,101000
Yellowstone River,32,0.001,0.333333333,3,0.001,0.833333333,101000
West Blacktail Creek,335,0.999,0.999,1,0.999,0.25,101000
Rosebud Creek,432,0.999,0.999,1,0.999,0.2,101000
Cabin Creek,349,0.5,0.333333333,3,0.666666667,0.833333333,101000
Smith Creek,405,0,0.001,2,0.999,0.999,101000
Bennie Peer Creek,345,0.4,0.25,0,0.333333333,0.75,101000
O'Fallon Creek,381,0.666666667,0.75,7,0.999,0.6,101000
Missouri River,212,0.6,0.5,10,0.001,0.777777778,100401
Missouri River,216,0.6,0.421052632,3,0.999,0.636363636,100401
Missouri River,214,0.25,0.2,6,0.001,0.875,100401
Arrow Creek,47,0.125,0.125,2,0.166666667,0.9,100401
Judith River,138,0.001,0.001,4,0.001,0.999,100401
Ross Fork Creek,277,0.333333333,0.25,2,0.333333333,0.833333333,100401
Beaver Creek,397,0.333333333,0.25,0,0.5,0.75,100401
Beaver Creek,44,0.666666667,0.6,0,0.5,0.4,100401
Big Spring Creek,67,0.333333333,0.5,1,0.333333333,0.571428571,100401
Little Casino Creek,398,0.5,0.4,3,0.5,0.75,100401
,252,0.5,0.25,3,0,0.857142857,100401
Fourchette Creek,360,0.4,0.571428571,8,0.333333333,0.733333333,100401
Missouri River,215,0,0.166666667,18,0.999,0.958333333,100401
Armells Creek,341,0.833333333,0.833333333,3,0.999,0.444444444,100401
Nelson Creek,378,0.999,0.999,4,0.999,0.444444444,100401
Kill Woman Creek,368,0.001,0.001,0,0.001,0.999,100401
Big Dry Creek,346,0.5,0.5,8,0.8,0.75,100401
Steve Forks,330,0.4,0.555555556,1,0.75,0.5,100401
Currant Creek,400,0.25,0.25,0,0.25,0.75,100402
Careless Creek,396,0.333333333,0.3,0,0.333333333,0.7,100402
Musselshell River,209,0.333333333,0.5,5,0.999,0.777777778,100402
,233,0.25,0.5,2,0.25,0.625,100402
Musselshell River,207,0.666666667,0.4,2,0.666666667,0.714285714,100402
Fish Creek,363,0.222222222,0.222222222,0,0.4,0.777777778,100402
Musselshell River,208,0.5,0.333333333,4,0.999,0.857142857,100402
Musselshell River,204,0.5,0.5,1,0.001,0.555555556,100402
Fords Creek,402,0.666666667,0.666666667,0,0.666666667,0.333333333,100402
McDonald Creek,401,0.001,0.001,1,0.001,0.999,100402
McDonald Creek,438,0.6,0.6,1,0.6,0.5,100402
North Fork McDonald Creek,236,0.4,0.4,1,0.6,0.666666667,100402
South Fork McDonald Creek,391,0.999,0.999,0,0.999,0.001,100402
Sacagawea River,387,0.666666667,0.6,1,0.5,0.454545455,100402
Musselshell River,205,0.444444444,0.454545455,4,0.001,0.666666667,100402
Musselshell River,206,0.555555556,0.454545455,6,0.333333333,0.705882353,100402
Assiniboine Creek,413,0.001,0.001,1,0.166666667,0.999,100500
Beaver Creek,439,0.333333333,0.2,5,0.75,0.9,100500
Clear Creek,99,0.166666667,0.166666667,3,0.285714286,0.888888889,100500
Snake Creek,404,0.25,0.25,2,0.5,0.833333333,100500
Bullhook Creek,403,0.999,0.999,0,0.999,0.001,100500
Stinky Creek,420,0.5,0.5,0,0.5,0.5,100500
East Fork Stinky Creek,419,0.666666667,0.666666667,1,0.75,0.5,100500
Big Sandy Creek,347,0.999,0.999,3,0.999,0.5,100500
Battle Creek,336,0,0.999,6,0.999,0.666666667,100500
East Fork Battle Creek,357,0.001,0.001,4,0.666666667,0.999,100500
Peoples Creek,449,0,0.5,3,0.999,0.8,100500
Beaver Creek,339,0.75,0.9,4,0.5,0.357142857,100500
Big Warm Creek,450,0.999,0.999,3,0.999,0.375,100500
Big Warm Creek,412,0.999,0.999,1,0.999,0.5,100500
Little Warm Creek,411,0.001,0.001,2,0.333333333,0.999,100500
Little Warm Creek,375,0.999,0.999,5,0.999,0.714285714,100500
Willow Creek,331,0.999,0.999,2,0.999,0.222222222,100500
Crow Creek,354,0.666666667,0.714285714,2,0.666666667,0.444444444,100500
Porcupine Creek,410,0.333333333,0.2,0,0.333333333,0.8,100500
Missouri River,218,0.999,0.999,24,0.999,0.857142857,100600
Wolf Creek,408,0.001,0.001,1,0.001,0.999,100600
Missouri River,213,0.999,0.999,23,0.999,0.821428571,100600
Little Porcupine Creek,409,0.5,0.444444444,0,0.5,0.555555556,100600
Missouri River,217,0.181818182,0.133333333,1,0.001,0.875,100600
Prairie Elk Creek,385,0.777777778,0.727272727,3,0.8,0.428571429,100600
Butte Creek,348,0.999,0.999,2,0.999,0.333333333,100600
Plentywood Creek,407,0.001,0.001,2,0.4,0.999,100600
Plentywood Creek,447,0.2,0.2,2,0.2,0.857142857,100600
Beaver Creek,446,0.5,0.428571429,2,0.5,0.666666667,100600
Whitetail Creek,418,0.001,0.25,0,0.001,0.75,100600
Eagle Creek,445,0.5,0.5,2,0.5,0.625,100600
Eagle Creek,106,0.333333333,0.333333333,1,0.333333333,0.714285714,100600
Smoke Creek,406,0.001,0.5,0,0.001,0.5,100600
North Fork Greenhorn Creek,234,0.999,0.999,0,0.999,0.001,100200
Madison River,195,0.5,0.8,2,0.5,0.428571429,100200
Cherry Creek,74,0.001,0.6,1,0.5,0.5,100200
North Fork Spanish Creek,237,0.999,0.999,1,0.999,0.2,100200
North Fork Spanish Creek,238,0.999,0.8,1,0.999,0.333333333,100200
