"pointid","xcoord","ycoord"
529,-1131131.8786,2258993.4956
530,-1119937.8817,2267258.4739
531,-1121821.8699,2266371.494
532,-1125525.2745,2295459.8629
533,-1128038.3476,2291531.37460001
534,-1122346.0204,2289193.6995
535,-1123799.2872,2287888.5991
536,-1117094.471,2278416.1822
537,-1116168.0594,2277564.2031
538,-1114924.3991,2268400.75520001
539,-1117411.3334,2267899.41339999
540,-1118106.1883,2267771.4873
541,-1122128.1598,2266589.0111
542,-1123865.8733,2265951.50500001
543,-1123905.7055,2265742.06799999
544,-1123823.8785,2266021.5061
545,-1125335.8666,2261667.4936
546,-1123179.8728,2266287.5016
547,-1122997.5007,2267069.2551
548,-1122864.8709,2266980.5045
549,-1125306.522,2293144.46900001
550,-1129590.0712,2292335.42189999
551,-1114728.7472,2139864.2514
552,-1113939.8704,2139951.49439999
553,-1116053.8739,2140525.49589999
554,-1115913.8715,2140371.49689999
555,-1115647.8713,2140273.4986
556,-1115409.876,2140119.5014
557,-1115311.8714,2140049.4954
558,-1115157.8758,2139979.4939
559,-1116842.5657,2142269.9383
560,-1116823.8741,2142541.4973
561,-1125083.8765,2155953.49460001
562,-1124845.8589,2155813.4563
563,-1125825.8735,2157101.50429999
564,-1125706.8707,2156898.5012
565,-1125601.8751,2156471.4958
566,-1125587.8722,2156275.5009
567,-1124663.8791,2156093.50039999
568,-1124383.8741,2156121.50230001
569,-1124691.8792,2156065.5008
570,-1125223.8748,2156023.50249999
571,-1125852.8693,2157128.4887
572,-1126091.8716,2157367.5004
573,-1129885.8728,2164311.5011
574,-1129774.0296,2163034.5734
575,-1129759.8784,2165837.499
576,-1129710.8759,2164934.5004
577,-1129731.8776,2165879.49699999
578,-1134183.8724,2172179.4952
579,-1134176.875,2171556.4979
580,-1133833.8697,2170877.50070001
581,-1134225.8699,2172879.49429999
582,-1132524.8748,2176106.50139999
583,-1133791.8798,2175315.4965
584,-1132356.8735,2176512.4907
585,-1134394.1618,2182145.2684
586,-1134260.88,2181902.495
587,-1137529.8718,2184555.5008
588,-1136423.8697,2184093.5022
589,-1136087.8789,2183855.5007
590,-1135779.8734,2183645.4929
591,-1135499.8738,2183295.5007
592,-1134701.8775,2182567.496
593,-1134617.8713,2182371.4992
594,-1134512.8789,2182266.4961
595,-1134421.8752,2182175.49830001
596,-1134302.8749,2180782.4971
597,-1134043.8772,2180817.4921
598,-1133455.8736,2180173.4995
599,-1137991.8783,2185479.5009
600,-1145635.8712,2191219.5025
601,-1145639.0225,2190956.37130001
602,-1146223.875,2189805.49909999
603,-1146371.8742,2189620.75280001
604,-1144375.8772,2188251.4991
605,-1143949.2053,2187882.6793
606,-1139858.6502,2186618.10940001
607,-1139755.8761,2186669.4912
608,-1146399.6045,2191570.6766
609,-1145803.8738,2191471.5025
610,-1139489.8765,2186739.5016
611,-1139293.8738,2186893.5004
612,-1139671.8711,2186697.49360001
613,-1140336.8776,2186578.4984
614,-1141029.8744,2186403.4919
615,-1141421.8772,2185927.4982
616,-1146601.8784,2191639.4987
617,-1152283.4001,2199102.9954
618,-1152215.0546,2198878.0096
619,-1181307.2912,2194808.0118
620,-1180235.1109,2194056.9547
621,-1152119.5874,2198612.7316
622,-1151990.1666,2198557.53250001
623,-1151212.5651,2197566.06910001
624,-1151206.8205,2197365.98710001
625,-1151354.4682,2197095.7361
626,-1151360.9141,2197052.70960001
627,-1151428.1675,2196872.2424
628,-1146717.2533,2191673.5002
629,-1147553.8774,2191779.5059
630,-1147455.9292,2191581.99869999
631,-1148244.8781,2191849.4994
632,-1148178.2231,2191864.7894
633,-1150500.8716,2193508.505
634,-1150171.8751,2193361.50379999
635,-1150073.8793,2193025.50219999
636,-1150038.8674,2192948.49669999
637,-1149828.8782,2192724.50079999
638,-1149541.8773,2192577.49340001
639,-1149170.8786,2192304.50460001
640,-1149065.8768,2192213.49790001
641,-1148944.7835,2192115.85840001
642,-1128975.8689,2160713.50320001
643,-1128975.8803,2160475.492
644,-1129031.8766,2160391.4973
645,-1129059.8709,2160881.5051
646,-1129213.8738,2161203.49880001
647,-1129745.8705,2162533.49470001
648,-1132405.8741,2169477.4956
649,-1131811.158,2169148.7874
650,-1116907.874,2143283.5018
651,-1112418.0695,2137021.5262
652,-1112189.8781,2136619.497
653,-1129931.2605,2167856.8877
654,-1112404.3508,2137076.8714
655,-1111895.8715,2136311.5003
656,-1148673.8756,2191863.4926
657,-1148435.873,2191597.4978
658,-1133231.88,2179249.4972
659,-1133387.124,2179183.9987
660,-1133302.0464,2178893.0757
661,-1133056.8692,2178766.5009
662,-1132657.8693,2178619.5033
663,-1133721.8773,2170513.4914
664,-1133721.8772,2170457.4958
665,-1133693.8767,2170163.498
666,-1132863.2331,2169828.75349999
667,-1130935.8772,2169197.4967
668,-1130592.8757,2168504.5019
669,-1128975.8708,2160279.5032
670,-1128681.8693,2159971.4977
671,-1128170.8818,2158816.4964
672,-1128023.8735,2158697.5032
673,-1126301.8733,2157605.49920001
674,-1148231.7868,2191503.8466
675,-1148194.0366,2191758.2285
676,-1151917.733,2198512.6218
677,-1127645.874,2158459.50549999
678,-1127603.8692,2158459.5007
679,-1122885.8717,2152509.5016
680,-1120855.8764,2151361.50399999
681,-1120792.876,2151242.50539999
682,-1120834.8715,2149492.4994
683,-1121032.4954,2148886.99770001
684,-1120778.8695,2148442.4967
685,-1120589.8712,2148351.4904
686,-1119434.8752,2147644.4992
687,-1148925.8701,2192087.4906
688,-1111503.8727,2135779.5015
689,-1110285.8709,2135681.4965
690,-1113379.8754,2139797.497
691,-1113253.8728,2139699.50469999
692,-1113154.1268,2139469.496
693,-1112819.8709,2138789.49930001
694,-1112749.8783,2138621.4964
695,-1112749.8733,2138551.49230001
696,-1112749.8736,2138257.4976
697,-1112682.3551,2137961.5997
698,-1112684.4115,2137954.1906
699,-1112546.8779,2137718.5024
700,-1112430.6264,2137274.5041
701,-1113827.8748,2139937.49809999
702,-1117841.916,2144691.7587
703,-1117789.8732,2144557.4986
704,-1117645.1293,2145668.5034
705,-1119133.8763,2147245.5022
706,-1118855.8263,2147115.6427
707,-1117614.88,2145908.4973
708,-1118251.8738,2146447.4967
709,-1117750.7557,2146019.72400001
710,-1118452.4956,2146639.8504
711,-1118433.8797,2146615.4974
712,-1119203.8761,2147315.5002
713,-1118524.871,2146734.4905
714,-1117677.8722,2145957.4984
715,-1124019.8701,2155785.4962
716,-1124214.4999,2155666.4974
717,-1124278.8724,2156044.4965
718,-1124369.8706,2152453.5048
719,-1124307.9737,2152448.3397
720,-1124145.8729,2152313.5018
721,-1124355.879,2156121.5005
722,-1124201.877,2155057.50079999
723,-1124285.8691,2154511.49950001
724,-1127316.8737,2158802.49869999
725,-1126630.8718,2158172.4991
726,-1126483.8764,2157773.4962
727,-1129374.875,2161490.49650001
728,-1129948.8724,2167874.50529999
729,-1130935.8763,2169239.49890001
730,-1131369.8738,2169253.5023
731,-1131054.8742,2169386.4911
732,-1131677.8727,2169099.4968
733,-1131593.8784,2169127.50170001
734,-1131523.8739,2169085.49740001
735,-1152103.8751,2195419.50459999
